Label,D0_open,D0_close,D0_low,D0_high,D1_open,D1_close,D1_low,D1_high,D2_open,D2_close,D2_low,D2_high,D3_open,D3_close,D3_low,D3_high,D4_open,D4_close,D4_low,D4_high,D5_open,D5_close,D5_low,D5_high,D6_open,D6_close,D6_low,D6_high,D7_open,D7_close,D7_low,D7_high
False,0.4643,0.462,0.462,0.4643,0.4666,0.4643,0.4643,0.4666,0.4709,0.4688,0.4688,0.4709,0.4755,0.4755,0.4755,0.4777,0.4732,0.4732,0.4732,0.4777,0.4577,0.4577,0.4577,0.4598,0.4509,0.4509,0.4509,0.45299999999999996,0.4286,0.4241,0.4241,0.4286
False,0.462,0.4577,0.4577,0.462,0.4643,0.462,0.462,0.4643,0.4666,0.4643,0.4643,0.4666,0.4709,0.4688,0.4688,0.4709,0.4755,0.4755,0.4755,0.4777,0.4732,0.4732,0.4732,0.4777,0.4577,0.4577,0.4577,0.4598,0.4509,0.4509,0.4509,0.45299999999999996
False,0.4241,0.42200000000000004,0.42200000000000004,0.4241,0.462,0.4577,0.4577,0.462,0.4643,0.462,0.462,0.4643,0.4666,0.4643,0.4643,0.4666,0.4709,0.4688,0.4688,0.4709,0.4755,0.4755,0.4755,0.4777,0.4732,0.4732,0.4732,0.4777,0.4577,0.4577,0.4577,0.4598
False,0.4041,0.4018,0.4018,0.4041,0.4241,0.42200000000000004,0.42200000000000004,0.4241,0.462,0.4577,0.4577,0.462,0.4643,0.462,0.462,0.4643,0.4666,0.4643,0.4643,0.4666,0.4709,0.4688,0.4688,0.4709,0.4755,0.4755,0.4755,0.4777,0.4732,0.4732,0.4732,0.4777
True,0.3905,0.3861,0.3861,0.3905,0.4041,0.4018,0.4018,0.4041,0.4241,0.42200000000000004,0.42200000000000004,0.4241,0.462,0.4577,0.4577,0.462,0.4643,0.462,0.462,0.4643,0.4666,0.4643,0.4643,0.4666,0.4709,0.4688,0.4688,0.4709,0.4755,0.4755,0.4755,0.4777
False,0.4018,0.4018,0.4018,0.4041,0.3905,0.3861,0.3861,0.3905,0.4041,0.4018,0.4018,0.4041,0.4241,0.42200000000000004,0.42200000000000004,0.4241,0.462,0.4577,0.4577,0.462,0.4643,0.462,0.462,0.4643,0.4666,0.4643,0.4643,0.4666,0.4709,0.4688,0.4688,0.4709
True,0.3995,0.3973,0.3973,0.3995,0.4018,0.4018,0.4018,0.4041,0.3905,0.3861,0.3861,0.3905,0.4041,0.4018,0.4018,0.4041,0.4241,0.42200000000000004,0.42200000000000004,0.4241,0.462,0.4577,0.4577,0.462,0.4643,0.462,0.462,0.4643,0.4666,0.4643,0.4643,0.4666
True,0.413,0.413,0.413,0.4173,0.3995,0.3973,0.3973,0.3995,0.4018,0.4018,0.4018,0.4041,0.3905,0.3861,0.3861,0.3905,0.4041,0.4018,0.4018,0.4041,0.4241,0.42200000000000004,0.42200000000000004,0.4241,0.462,0.4577,0.4577,0.462,0.4643,0.462,0.462,0.4643
True,0.433,0.433,0.433,0.4375,0.413,0.413,0.413,0.4173,0.3995,0.3973,0.3973,0.3995,0.4018,0.4018,0.4018,0.4041,0.3905,0.3861,0.3861,0.3905,0.4041,0.4018,0.4018,0.4041,0.4241,0.42200000000000004,0.42200000000000004,0.4241,0.462,0.4577,0.4577,0.462
False,0.4598,0.4598,0.4598,0.4643,0.433,0.433,0.433,0.4375,0.413,0.413,0.413,0.4173,0.3995,0.3973,0.3973,0.3995,0.4018,0.4018,0.4018,0.4041,0.3905,0.3861,0.3861,0.3905,0.4041,0.4018,0.4018,0.4041,0.4241,0.42200000000000004,0.42200000000000004,0.4241
True,0.4577,0.4554,0.4554,0.4577,0.4598,0.4598,0.4598,0.4643,0.433,0.433,0.433,0.4375,0.413,0.413,0.413,0.4173,0.3995,0.3973,0.3973,0.3995,0.4018,0.4018,0.4018,0.4041,0.3905,0.3861,0.3861,0.3905,0.4041,0.4018,0.4018,0.4041
True,0.4598,0.4598,0.4598,0.4643,0.4577,0.4554,0.4554,0.4577,0.4598,0.4598,0.4598,0.4643,0.433,0.433,0.433,0.4375,0.413,0.413,0.413,0.4173,0.3995,0.3973,0.3973,0.3995,0.4018,0.4018,0.4018,0.4041,0.3905,0.3861,0.3861,0.3905
False,0.4709,0.4666,0.4666,0.4709,0.4777,0.4755,0.4755,0.4777,0.4777,0.4777,0.4777,0.4821,0.4598,0.4598,0.4598,0.4643,0.4577,0.4554,0.4554,0.4577,0.4598,0.4598,0.4598,0.4643,0.433,0.433,0.433,0.4375,0.413,0.413,0.413,0.4173
False,0.4598,0.4577,0.4577,0.4598,0.4709,0.4666,0.4666,0.4709,0.4777,0.4755,0.4755,0.4777,0.4777,0.4777,0.4777,0.4821,0.4598,0.4598,0.4598,0.4643,0.4577,0.4554,0.4554,0.4577,0.4598,0.4598,0.4598,0.4643,0.433,0.433,0.433,0.4375
False,0.4443,0.442,0.442,0.4443,0.4598,0.4577,0.4577,0.4598,0.4709,0.4666,0.4666,0.4709,0.4777,0.4755,0.4755,0.4777,0.4777,0.4777,0.4777,0.4821,0.4598,0.4598,0.4598,0.4643,0.4577,0.4554,0.4554,0.4577,0.4598,0.4598,0.4598,0.4643
False,0.442,0.442,0.442,0.4464,0.4443,0.442,0.442,0.4443,0.4598,0.4577,0.4577,0.4598,0.4709,0.4666,0.4666,0.4709,0.4777,0.4755,0.4755,0.4777,0.4777,0.4777,0.4777,0.4821,0.4598,0.4598,0.4598,0.4643,0.4577,0.4554,0.4554,0.4577
